,Ticker,Company Name,Industry,Sub-Industry,Date Added,Founded
443,TXN,Texas Instruments,Semiconductors,"Dallas, Texas",2001-03-12,1930
444,TPL,Texas Pacific Land Corporation,Oil & Gas Exploration & Production,"Dallas, Texas",2024-11-26,1888
445,TXT,Textron,Aerospace & Defense,"Providence, Rhode Island",1978-12-31,1923
446,TMO,Thermo Fisher Scientific,Life Sciences Tools & Services,"Waltham, Massachusetts",2004-08-03,2006 (1902)
447,TJX,TJX Companies,Apparel Retail,"Framingham, Massachusetts",1985-09-30,1987
448,TSCO,Tractor Supply,Other Specialty Retail,"Brentwood, Tennessee",2014-01-24,1938
449,TT,Trane Technologies,Building Products,"Dublin, Ireland",2010-11-17,1871
450,TDG,TransDigm Group,Aerospace & Defense,"Cleveland, Ohio",2016-06-03,1993
451,TRV,Travelers Companies (The),Property & Casualty Insurance,"New York City, New York",2002-08-21,1853
452,TRMB,Trimble Inc.,Electronic Equipment & Instruments,"Westminster, Colorado",2021-01-21,1978
453,TFC,Truist Financial,Diversified Banks,"Charlotte, North Carolina",1997-12-04,1872
454,TYL,Tyler Technologies,Application Software,"Plano, Texas",2020-06-22,1966
455,TSN,Tyson Foods,Packaged Foods & Meats,"Springdale, Arkansas",2005-08-10,1935
456,USB,U.S. Bancorp,Diversified Banks,"Minneapolis, Minnesota",1999-11-01,1968
457,UBER,Uber,Passenger Ground Transportation,"San Francisco, California",2023-12-18,2009
458,UDR,"UDR, Inc.",Multi-Family Residential REITs,"Highlands Ranch, Colorado",2016-03-07,1972
459,ULTA,Ulta Beauty,Other Specialty Retail,"Bolingbrook, Illinois",2016-04-18,1990
460,UNP,Union Pacific Corporation,Rail Transportation,"Omaha, Nebraska",1957-03-04,1862
461,UAL,United Airlines Holdings,Passenger Airlines,"Chicago, Illinois",2015-09-03,1967
462,UPS,United Parcel Service,Air Freight & Logistics,"Sandy Springs, Georgia",2002-07-22,1907
463,URI,United Rentals,Trading Companies & Distributors,"Stamford, Connecticut",2014-09-20,1997
464,UNH,UnitedHealth Group,Managed Health Care,"Minnetonka, Minnesota",1994-07-01,1977
465,UHS,Universal Health Services,Health Care Facilities,"King of Prussia, Pennsylvania",2014-09-20,1979
466,VLO,Valero Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",2002-12-20,1980
467,VTR,Ventas,Health Care REITs,"Chicago, Illinois",2009-03-04,1998
468,VLTO,Veralto,Environmental & Facilities Services,"Waltham, Massachusetts",2023-10-02,2023
469,VRSN,Verisign,Internet Services & Infrastructure,"Dulles, Virginia",2006-02-01,1995
470,VRSK,Verisk Analytics,Research & Consulting Services,"Jersey City, New Jersey",2015-10-08,1971
471,VZ,Verizon,Integrated Telecommunication Services,"New York City, New York",1983-11-30,1983 (1877)
472,VRTX,Vertex Pharmaceuticals,Biotechnology,"Boston, Massachusetts",2013-09-23,1989
473,VTRS,Viatris,Pharmaceuticals,"Pittsburgh, Pennsylvania",2004-04-23,1961
474,VICI,Vici Properties,Hotel & Resort REITs,"New York City, New York",2022-06-08,2017
475,V,Visa Inc.,Transaction & Payment Processing Services,"San Francisco, California",2009-12-21,1958
476,VST,Vistra Corp.,Electric Utilities,"Irving, Texas",2024-05-08,2016
477,VMC,Vulcan Materials Company,Construction Materials,"Birmingham, Alabama",1999-06-30,1909
478,WRB,W. R. Berkley Corporation,Property & Casualty Insurance,"Greenwich, Connecticut",2019-12-05,1967
479,GWW,W. W. Grainger,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",1981-06-30,1927
480,WAB,Wabtec,Construction Machinery & Heavy Transportation Equipment,"Pittsburgh, Pennsylvania",2019-02-27,1999 (1869)
481,WBA,Walgreens Boots Alliance,Drug Retail,"Deerfield, Illinois",1979-12-31,2014
482,WMT,Walmart,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1982-08-31,1962
483,DIS,Walt Disney Company (The),Movies & Entertainment,"Burbank, California",1976-06-30,1923
484,WBD,Warner Bros. Discovery,Broadcasting,"New York City, New York",2022-04-11,2022 (Warner Bros. 1923)
485,WM,Waste Management,Environmental & Facilities Services,"Houston, Texas",1998-08-31,1968
486,WAT,Waters Corporation,Life Sciences Tools & Services,"Milford, Massachusetts",2002-01-02,1958
487,WEC,WEC Energy Group,Electric Utilities,"Milwaukee, Wisconsin",2008-10-31,1896
488,WFC,Wells Fargo,Diversified Banks,"San Francisco, California",1976-06-30,1852
489,WELL,Welltower,Health Care REITs,"Toledo, Ohio",2009-01-30,1970
490,WST,West Pharmaceutical Services,Health Care Supplies,"Exton, Pennsylvania",2020-05-22,1923
491,WDC,Western Digital,"Technology Hardware, Storage & Peripherals","San Jose, California",2009-07-01,1970
492,WY,Weyerhaeuser,Timber REITs,"Seattle, Washington",1979-10-01,1900
493,WMB,Williams Companies,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",1975-03-31,1908
494,WTW,Willis Towers Watson,Insurance Brokers,"London, United Kingdom",2016-01-05,2016
495,WDAY,"Workday, Inc.",Application Software,"Pleasanton, California",2024-12-23,2005
496,WYNN,Wynn Resorts,Casinos & Gaming,"Paradise, Nevada",2008-11-14,2002
497,XEL,Xcel Energy,Multi-Utilities,"Minneapolis, Minnesota",1957-03-04,1909
498,XYL,Xylem Inc.,Industrial Machinery & Supplies & Components,"White Plains, New York",2011-11-01,2011
499,YUM,Yum! Brands,Restaurants,"Louisville, Kentucky",1997-10-06,1997
500,ZBRA,Zebra Technologies,Electronic Equipment & Instruments,"Lincolnshire, Illinois",2019-12-23,1969
501,ZBH,Zimmer Biomet,Health Care Equipment,"Warsaw, Indiana",2001-08-07,1927
502,ZTS,Zoetis,Pharmaceuticals,"Parsippany, New Jersey",2013-06-21,1952
